COMM,SWAP_Crop,GAMS
ALFALFA,ALFAL,ALFAL
Alfalfa and Alfalfa Mixtures,,ALFAL
ALFALFA SEED,ALFAL,ALFAL
ALMOND,ALMON,ALPIS
Almonds,,ALPIS
APPLE,APPLE,ORCHD
Apples,,COTTN
APRICOT,APRIC,ORCHD
ARRUGULA,,OTHTRK
ARTICHOKE,ARTIC,OTHTRK
ARUGULA,ARUGU,OTHTRK
ASIAN PEAR,,ORCHD
ASPARAGUS,ASPAR,OTHTRK
AVOCADO,AVOCA,SUBTRP
Avocados,,ALPIS
BARLEY,BARLE,GRAIN
BARLEY FOR/FOD,BARLE,GRAIN
BARLEY SEED,,GRAIN
BEAN DRIED,BEAN,DRYBN
BEAN SUCCULENT,BEAN,DRYBN
Beans (Dry),,ORCHD
BEET,BEET,OTHTRK
"BEETS, RED",BEETS,OTHTRK
BLACKBERRY,BLACK,OTHTRK
BLUEBERRY,BLUEB,OTHTRK
BOK CHOY LSE LF,,N/A
BOYSENBERRY,BOYSE,OTHTRK
BROCCOLI,BROCC,OTHTRK
BROCCOLI SEED,BROCC,OTHTRK
BRUSSEL SPROUT,,OTHTRK
Bush Berries,,OTHTRK
CABBAGE,CABBA,OTHTRK
CABBAGE SEED,CABBA,OTHTRK
CACTUS LEAF,CACTU,OTHTRK
CACTUS PEAR,CACTU,OTHTRK
CANTALOUPE,CANTA,CUCUR
CARROT,CARRO,OTHTRK
CARROT SEED,,GRAIN
Carrots,,OTHFLD
CASHEW,,ORCHD
CAULIFLOWER,CAULI,OTHTRK
CAULIFLOWR SEED,,OTHTRK
CELERIAC,,ONGAR
CELERY,CELER,OTHTRK
CELERY SEED,,GRAIN
Cherries,,ORCHD
CHERRY,CHERR,ORCHD
CHESTNUT,CHEST,ORCHD
CHINESE GREEN,,CUCUR
CHIVE,CHIVE,OTHTRK
CILANTRO,CILAN,OTHTRK
CITRUS,,SUBTRP
Cole Crops,,OTHTRK
COLLARD,COLLA,OTHTRK
CORN FOR/FOD,CORN,CORN
"CORN, GRAIN","CORN,",CORN
"CORN, HUMAN CON","CORN,",CORN
"Corn, Sorghum and Sudan",,CORN
"CORN, SWEET",,CORN
COTTON,COTTO,COTTN
COTTON FOR/FOD,,COTTN
CUCUMBER,CUCUM,CUCUR
DAIKON,DAIKO,OTHTRK
DANDELION GREEN,DANDE,N/A
DILL,DILL,OTHTRK
EGGPLANT,EGGPL,OTHTRK
FAVA BEAN,,GRAIN
FENNEL,FENNE,OTHTRK
FIG,FIG,SUBTRP
"Flowers, Nursery and Christmas Tree Farms",,N/A
FORAGE HAY/SLGE,,ALFAL
"FOREST, TMBRLND",,N/A
"FRUIT, BERRY",FRUIT,ORCHD
GAI CHOY LSE LF,,N/A
GAI LON TGHT HD,,N/A
GARBANZO BEAN,GARBA,DRYBN
GARLIC,GARLI,ONGAR
GOURD,GOURD,CUCUR
GRAPE,,VINE
"GRAPE, RAISIN",,VINE
"GRAPE, WINE",,VINE
GRAPEFRUIT,,SUBTRP
Grapes,,VINE
"HERB, SPICE",,N/A
HONEYDEW MELON,HONEY,CUCUR
Idle,,N/A
JUJUBE,JUJUB,OTHDEC
KALE,KALE,OTHTRK
KIWI,KIWI,SUBTRP
Kiwis,,SUBTRP
KOHLRABI,KOHLR,OTHTRK
KUMQUAT,,N/A
LEEK,LEEK,OTHTRK
LEMON,LEMON,SUBTRP
LETTUCE HEAD,LETTU,OTHTRK
LETTUCE HEAD SD,LETTU,OTHTRK
LETTUCE LEAF,LETTU,OTHTRK
LETTUCE LEAF SD,LETTU,OTHTRK
LETTUCE ROMAINE,LETTU,OTHTRK
Lettuce/Leafy Greens,,OTHTRK
LOVEGRASS (FORA,LOVEG,OTHFLD
Managed Wetland,,N/A
MELON,MELON,CUCUR
"Melons, Squash and Cucumbers",,CUCUR
Miscellaneous Deciduous,,N/A
Miscellaneous Grain and Hay,,N/A
Miscellaneous Grasses,,N/A
Miscellaneous Truck Crops,,OTHTRK
Mixed Pasture,,PASTR
MUSK MELON,MUSK,CUCUR
MUSTARD,MUSTA,OTHTRK
MUSTARD GREENS,MUSTA,OTHTRK
NAPA CBG TGHT H,NAPA,OTHTRK
NECTARINE,NECTA,ORCHD
N-GRNHS PLANT,N-GRN,N/A
N-OUTDR PLANTS,N-OUT,N/A
OAT,OAT,GRAIN
OAT FOR/FOD,,N/A
OF-BULB,OF-BU,N/A
OILSEED,,N/A
OKRA,,N/A
OLIVE,OLIVE,SUBTRP
Olives,,SUBTRP
ONION DRY ETC,ONION,ONGAR
ONION GR SEED,,ONGAR
ONION GREEN,ONION,ONGAR
ONION SEED,ONION,ONGAR
Onions and Garlic,,ONGAR
OP-CHRSTMS TREE,OP-CH,N/A
OP-DEC. SHRUB,OP-DE,ORCHD
OP-DEC. TREE,OP-DE,ORCHD
OP-FLOWER SEED,,N/A
OP-FLWRNG PLANT,OP-FL,N/A
OP-PALM,OP-PA,N/A
OP-ROSE,OP-RO,N/A
OP-VINE,OP-VI,VINE
ORANGE,ORANG,SUBTRP
OT-CONIFER,OT-CO,N/A
OT-DEC. TREE,OT-DE,N/A
PAPAYA,PAPAY,SUBTRP
PARSLEY,PARSL,OTHTRK
PARSLEY SEED,,GRAIN
PARSNIP,PARSN,OTHTRK
PASTURELAND,PASTU,PASTR
PEACH,PEACH,ORCHD
Peaches/Nectarines,,ORCHD
PEAR,PEAR,ORCHD
Pears,,ORCHD
PEAS,PEAS,DRYBN
PEAS SEED,,GRAIN
PECAN,PECAN,ORCHD
PEPPER FRUITNG,PEPPE,OTHTRK
PEPPER SPICE,PEPPE,OTHTRK
Peppers,,OTHTRK
PERSIMMON,PERSI,ORCHD
PISTACHIO,PISTA,ALPIS
Pistachios,,ALPIS
PLUM,PLUM,ORCHD
"Plums, Prunes and Apricots",,ORCHD
POMEGRANATE,POMEG,ORCHD
Pomegranates,,ORCHD
POMELO,POMEL,ORCHD
POTATO,POTAT,POTATO
Potatoes and Sweet Potatoes,,POTATO
PRUNE,,ORCHD
PUMPKIN,PUMPK,OTHTRK
QUINCE,QUINC,ORCHD
RADISH,RADIS,OTHTRK
RADISH SEED,,GRAIN
RANGELAND,RANGE,PASTR
RAPE,RAPE,OTHFLD
RUTABAGA,RUTAB,OTHTRK
RYE,RYE,GRAIN
RYEGRAS FOR/FOD,RYEGR,OTHFLD
SAFFLOWER,SAFFL,SAFLR
SHALLOT,,ONGAR
SORGHUM FOR/FOD,SORGH,GRAIN
SORGHUM MILO,SORGH,GRAIN
SORGHUM SEED,,GRAIN
SPINACH,SPINA,OTHTRK
SQUASH,SQUAS,CUCUR
"SQUASH, SUMMER",,CUCUR
"SQUASH, WINTER",SQUAS,CUCUR
STONE FRUIT,,N/A
Strawberries,,OTHFLD
STRAWBERRY,STRAW,OTHFLD
SUDANGRASS,SUDAN,OTHFLD
SUGARBEET,SUGAR,SBEET
SUGARCANE,,N/A
SUNFLOWER,,N/A
SUNFLOWER SEED,,GRAIN
SWEET BASIL,,N/A
SWEET POTATO,SWEET,POTATO
SWISS CHARD,SWISS,OTHTRK
TANGELO,TANGE,SUBTRP
TANGERINE,TANGE,SUBTRP
TANGERINE/SDLS,TANGE,SUBTRP
TOMATILLO,,FRTOM
TOMATO,TOMAT,FRTOM
TOMATO PROCESS,TOMAT,PRTOM
TOMATO SEED,TOMAT,FRTOM
Tomatoes,,FRTOM
TRITICALE,TRITI,GRAIN
TURF/SOD,TURF/,N/A
TURNIP,TURNI,OTHTRK
